Rescored leaderboard (using updated judger.py)
================================================================================

Run                                                             MCQ              FRQ          Overall      Δ
--------------------------------------------------------------------------------------------------------------
Altered FRQ Prompt                                   54/81 (66.67%)  84/145 (57.93%)  138/226 (61.06%)     +1
Altered2 FRQ Prompt                                  56/81 (69.14%)  86/145 (59.31%)  142/226 (62.83%)     +1
Multishot v1                                         58/81 (71.60%)  83/145 (57.24%)  141/226 (62.39%)     +2
Multishot v1 (majority equiv)                        57/81 (70.37%)  85/145 (58.62%)  142/226 (62.83%)     +1
Multishot v1 (majority)                              57/81 (70.37%)  85/145 (58.62%)  142/226 (62.83%)     +1
Multishot v2 (diverse candidates)                    52/81 (64.20%)  86/145 (59.31%)  138/226 (61.06%)     +1
Trained LoRA v1                                      24/81 (29.63%)  49/145 (33.79%)  73/226 (32.30%)     +2
Trained LoRA v2 (RSFT)                               55/81 (67.90%)  89/145 (61.38%)  144/226 (63.72%)     +1
Trained LoRA v3 (RSFT+MATH)                          50/81 (61.73%)  85/145 (58.62%)  135/226 (59.73%)     +1
Trained LoRA v5 (DeepMath SFT)                       50/81 (61.73%)  47/145 (32.41%)  97/226 (42.92%)     +0
Trained LoRA v6 (DeepMath fmtfix + RSFT)             59/81 (72.84%)  84/145 (57.93%)  143/226 (63.27%)     +1
baseline                                             57/81 (70.37%)  87/145 (60.00%)  144/226 (63.72%)     +1
